food_name,calories,carbs,protein,fat
완자전_참치,173,13.57,15.0,6.49
완자전_해물,222,18.04,11.46,11.61
채소전,145,22.59,3.57,4.5
파전_해물,171,18.29,5.5,8.4
감자볶음,100,12.41,1.75,4.84
감자볶음_채소,108,13.1,2.04,5.22
건새우볶음,304,5.4,41.55,12.95
곱창볶음_돼지고기,130,18.52,7.23,3.0
김치볶음,106,7.27,1.38,7.94
김치볶음_참치,122,7.12,8.33,6.68
낙지볶음,91,8.6,5.77,3.77
닭발볶음,186,11.72,13.8,9.38
닭볶음(닭갈비),186,7.93,13.98,10.96
닭볶음(닭갈비)_닭가슴살_피망,122,1.38,16.39,5.65
당근볶음,95,7.79,0.93,6.63
돼지고기볶음_김치,161,5.93,11.81,10.05
돼지고기볶음_채소,169,8.63,16.57,7.59
돼지고기볶음(제육볶음),195,4.73,12.15,14.19
떡볶이,144,25.96,3.51,2.96
떡볶이_채소,258,57.06,3.12,1.88
라볶이,134,20.14,2.83,4.71
마늘쫑볶음,89,13.17,3.25,2.54
마늘쫑볶음_멸치,117,15.42,7.54,2.78
마파두부,109,5.36,7.29,6.48
멸치볶음,276,13.62,39.44,7.08
멸치볶음_견과류,414,18.36,30.4,24.32
멸치볶음_꽈리고추,253,7.96,23.62,14.08
멸치볶음_마늘쫑,277,12.42,32.4,10.84
멸치볶음_풋고추,190,13.3,20.62,6.0
문어볶음_고추장,88,8.62,10.97,1.02
미역줄기볶음,77,4.85,0.96,5.95
버섯볶음_느타리,94,6.78,2.8,6.2
버섯볶음_새송이버섯,121,9.29,2.95,8.03
브로콜리볶음,51,5.53,4.42,1.28
삼겹살볶음_묵은지김치,151,8.4,5.76,10.49
새우볶음,83,5.96,9.91,2.21
소고기볶음_고추장,197,10.7,14.36,10.79
소고기볶음_버섯,144,6.92,11.59,7.73
소고기볶음_채소,126,6.44,12.8,5.4
소시지볶음,280,14.41,11.94,19.38
애호박 볶음,59,5.3,1.32,3.62
양파볶음,56,9.51,0.99,1.54
어묵볶음,197,24.33,8.41,7.29
어묵볶음_채소,152,17.2,6.33,6.41
오징어볶음,128,7.43,9.85,6.52
유산슬,86,4.1,7.54,4.4
잔멸치볶음_견과류,388,22.64,24.34,22.22
잔멸치볶음_꽈리고추,293,9.24,24.78,17.48
잔멸치볶음_풋고추,256,16.94,28.24,8.32
잔멸치볶음_홍고추_풋고추,228,5.72,33.28,8.0
잡채,146,24.26,4.71,3.3
잡채_어묵,148,26.13,2.34,3.78
잡채_콩나물,67,12.55,1.93,0.97
죽순볶음_소고기,120,3.78,13.68,5.59
팔보채,90,3.42,12.42,2.9
풋고추볶음,70,8.25,1.93,3.23
햄볶음_채소,183,9.6,10.47,11.37
감자조림,114,18.1,2.4,3.52
고등어조림,141,4.1,11.25,8.84
꽁치조림,244,5.14,15.52,17.87
닭볶음탕,111,8.52,11.91,3.22
닭조림,197,6.57,18.03,10.9
닭조림_고추장,152,13.25,9.12,6.94
두부조림,143,4.4,9.64,9.66
땅콩조림,483,19.95,18.75,36.4
멸치조림,318,8.93,40.92,13.22
무조림,48,4.29,2.26,2.38
미트볼조림,221,12.95,18.15,10.73
버섯조림,60,6.23,4.38,2.0
병어조림,112,4.87,12.46,4.78
삼치조림,125,2.61,15.88,5.63
양미리조림,65,9.09,5.76,0.66
어묵조림,159,23.16,5.83,4.73
연근조림,174,29.42,2.68,5.1
오징어조림,137,12.45,16.55,2.37
오징어채조림,240,25.36,23.52,4.9
우엉조림,188,34.8,4.8,3.33
장조림_달걀,138,8.67,9.85,7.12
장조림_메추리알,203,6.3,14.25,13.41
장조림_소고기,69,4.84,10.41,0.86
장조림_소고기_메추리알,157,15.56,11.69,5.39
쥐포조림,276,36.12,13.03,8.86
코다리조림,86,4.16,16.46,0.4
콩조림(콩자반),281,34.83,17.97,7.73
감자튀김,312,35.15,4.55,17.01
김튀김,522,54.36,11.0,28.9
다시마튀각,462,47.32,8.44,26.52
닭다리튀김_간장,323,17.88,18.86,19.6
닭튀김_날개,257,10.49,17.17,16.27
떡강정,249,47.89,3.79,4.72
미역튀각,443,21.14,13.24,33.9
탕수육_새우,116,13.02,6.65,4.2
가지나물,36,4.18,1.42,1.5
고구마줄기나물,83,4.1,0.98,7.0
고사리나물무침,90,6.28,3.78,5.52
고춧잎나물무침,88,7.14,4.41,4.69
깻잎나물,78,5.04,2.68,5.18
냉이나물,111,15.7,5.02,3.07
도라지나물무침,130,13.12,2.48,7.52
머위대나물무침,58,4.76,3.96,2.56
무나물무침,21,3.64,0.62,0.46
방풍나물무침,76,10.74,4.39,1.73
배추나물,61,8.45,2.01,2.19
비름나물무침,73,5.7,3.46,4.05
숙주나물,35,2.96,2.22,1.58
시금치나물,69,3.36,3.74,4.46
시래기나물무침,114,7.74,4.32,7.28
씀바귀나물무침,97,16.57,3.87,1.73
열무나물,82,4.76,3.91,5.3
열무나물_된장,68,4.09,3.71,4.09
유채나물,96,7.82,5.8,4.6
참나물,60,4.14,2.51,3.69
취나물_된장,44,4.12,3.08,1.66
취나물_취나물(마른것),89,6.4,3.62,5.4
콩나물무침,69,3.2,3.86,4.54
콩나물무침_고춧가루,93,5.93,3.93,5.93
토란대나물무침,68,4.22,5.14,3.38
호박오가리나물무침,201,21.46,6.14,10.01
가죽나물무침,76,10.05,5.83,1.35
겉절이_배추,55,6.58,2.28,2.14
겉절이_상추,61,5.26,2.36,3.41
겉절이_열무,58,5.38,2.4,2.94
겉절이_치커리,56,4.4,1.49,3.65
골뱅이무침_소면,109,18.91,5.01,1.47
굴무침,77,7.3,6.68,2.31
김무침,259,19.33,21.17,10.73
낙지무침,77,3.96,12.41,1.24
냉채_닭고기,90,5.0,13.08,1.95
다시마무침,48,6.8,2.57,1.18
달래무침,63,6.07,2.92,3.02
도라지생채,77,16.15,2.06,0.51
두릅무침_초고추장,67,7.89,2.16,3.01
마늘쫑무침,106,12.77,2.73,4.93
무말랭이무침,121,22.5,4.2,1.55
무생채,49,7.33,2.43,1.11
무생채_굴,50,5.92,3.68,1.26
묵무침_도토리묵,74,10.92,0.93,2.95
물회_오징어,49,3.26,6.19,1.2
미나리무침,46,5.41,1.31,2.13
미역초무침,35,5.24,1.18,1.02
민들레잎무침,81,12.32,2.69,2.33
버섯무침_느타리버섯,59,3.44,2.74,3.77
부추무침,92,6.25,3.5,5.92
부추무침_양파,44,6.81,1.83,1.07
북어채무침,188,12.05,28.4,2.91
샐러드_감자,126,12.25,1.31,7.99
샐러드_단호박,162,18.77,1.48,8.97
샐러드_닭가슴살,135,5.36,7.17,9.49
샐러드_새싹,74,4.96,2.77,4.81
샐러드_양배추,150,8.47,2.69,11.71
샐러드_양상추,126,3.42,4.91,10.3
샐러드_옥수수,166,12.68,1.96,11.94
샐러드_참치,151,7.52,10.82,8.65
샐러드_채소,145,5.1,1.16,13.35
양장피,133,10.95,7.3,6.63
오이무침_부추,31,5.01,1.95,0.39
오이생채,69,8.96,1.78,2.9
오이지무침,52,4.21,0.96,3.51
오징어무침_채소,62,7.6,5.85,0.93
오징어채무침,258,28.41,23.6,5.53
톳나물무침,75,12.28,1.87,2.09
파래무침,49,4.97,3.53,1.7
파무침,71,9.08,2.25,2.81
풋고추된장무침_풋고추,124,12.0,2.37,7.35
풋마늘무침,71,11.27,4.14,1.04
피조개무침,52,6.07,4.71,0.95
해초무침,39,8.52,0.95,0.16
회무침,82,8.6,8.09,1.65
회무침_가오리,81,6.35,11.33,1.16
돌나물무침,69,8.3,1.66,3.18
고들빼기김치,71,11.52,3.0,1.38
깍두기,33,4.24,1.56,1.06
깻잎김치,62,8.92,2.82,1.72
나박김치,10,1.15,0.46,0.38
동치미,14,2.28,0.29,0.37
물김치_돌나물,5,0.75,0.31,0.08
보쌈김치,30,3.73,2.19,0.72
부추김치,47,6.36,2.68,1.16
얼갈이배추김치,63,10.94,1.59,1.45
오이김치,38,5.64,2.06,0.8
가자미식해,134,11.64,11.09,4.81
갈치젓_양념,149,10.28,15.53,5.08
멸치젓_양념,90,7.4,11.4,1.6
새우젓_양념,69,6.0,7.1,1.8
오징어젓_양념,60,3.4,10.1,0.7
꽃게장_간장,62,6.04,7.02,1.1
꽃게장_양념,97,12.61,10.23,0.61
단무지,13,2.4,0.33,0.2
더덕장아찌,141,28.9,4.47,0.89
매실장아찌_우메보시(일본),65,11.03,1.27,1.77
무짠지,11,1.98,0.54,0.12
무초절임(치킨무),17,3.05,0.52,0.3
오이장아찌,14,2.54,0.36,0.28
오이지,21,2.84,0.74,0.72
미숫가루,70,10.42,2.08,2.27
육회,130,8.12,9.93,6.43
기타빵_롤링넛츠,329,40.4,6.0,15.9
기타빵_우리쌀 막걸리로 만든 초당옥수수빵,206,44.85,4.85,0.79
기타빵_카라멜아몬드,450,45.8,10.7,24.9
깨찰빵_쫀득쫀득한찰깨빵 (2개입),373,63.64,3.64,12.73
깨찰빵_쫀득쫀득한찰깨빵,373,63.64,3.64,12.73
도넛_다크초코링도넛,469,46.15,6.15,24.62
도넛_다크초코츄잉스타,444,38.89,3.7,27.78
도넛_달콤한 꿀도넛,343,60.0,5.71,10.29
도넛_달콤한꿀도넛 (3개입),348,59.05,4.76,10.48
도넛_달콤한꿀도넛 (4개입),350,59.29,5.0,10.0
도넛_달콤한꿀도넛 (5개입),349,59.43,5.14,10.29
도넛_던킨카페모카롤,433,52.63,5.26,22.37
도넛_돌돌말린소시지 도넛,341,45.88,7.06,15.29
도넛_미니찹쌀 도넛 (3개입),395,72.38,4.76,9.52
도넛_미니찹쌀 도넛 (4개입),393,72.14,5.0,9.29
도넛_미니찹쌀 도넛 (5개입),394,72.0,5.14,9.14
도넛_미니찹쌀 도넛,400,71.43,5.71,9.14
도넛_보스톤크림 도넛,364,46.27,4.48,17.91
도넛_소금우유 도넛,460,51.67,3.33,25.0
도넛_올드훼션드먼치킨,471,57.14,3.57,25.71
도넛_올리브츄이스티 도넛,404,53.06,2.04,20.41
도넛_왕크림 도넛,335,33.85,6.15,20.0
도넛_찹쌀 도넛,333,56.99,5.38,9.68
도넛_카카오후로스티드 도넛,413,50.0,6.25,20.83
도넛_카푸치노츄이스티 도넛,406,51.92,1.92,21.15
도넛_케익꽈배기 도넛,376,41.18,7.06,20.0
도넛_쿠키&다크초코링도넛,473,52.0,5.33,24.0
도넛_쿠키&화이트초코링도넛,473,52.0,5.33,26.67
도넛_페이머스 글레이즈드 도넛,433,50.0,4.35,23.91
도넛_허니후리터,449,48.65,5.41,24.32
도넛_BEURRE 헤이즐넛&바닐라 도넛,451,45.59,4.41,27.94
도넛_BEURRE 버터넛,425,58.9,4.11,19.18
도넛_단팥 도넛,310,44.76,6.67,9.52
도넛_달콤한 우리찹쌀 왕꽈배기,378,48.7,6.09,18.26
도넛_디어 마이 러브 도넛,458,49.35,3.9,27.27
도넛_레드벨벳 먼치킨 도넛,486,57.14,3.57,27.14
도넛_바닐라빈 바이츠 도넛,404,59.15,7.04,15.49
도넛_바바리안 먼치킨 도넛,400,50.0,6.0,20.0
도넛_바바리안필드 도넛,378,48.33,5.0,18.33
도넛_생크림폭탄 도넛,364,34.55,5.45,21.82
도넛_생크림폭탄 도넛 (3개입),364,34.55,6.06,22.42
도넛_스트로베리 먼치킨 도넛,380,50.0,5.0,18.0
도넛_스트로베리 필드 도넛,372,46.67,5.0,18.33
도넛_아침햇살 쌀꽈배기 도넛,375,60.94,4.69,12.5
도넛_용감한 쿠키 도넛,446,50.88,5.26,24.56
도넛_우리찹쌀 왕꽈배기,383,48.7,6.09,18.26
도넛_제주말차 우유 도넛,453,45.31,4.69,28.13
도넛_추억의 옥수수 꽈배기 도넛,407,49.18,8.2,19.67
도넛_추억의생도나스,429,55.13,17.95,21.79
도넛_추억의생도나스 (2개입),426,54.49,17.31,22.44
도넛_추억의생도나스 (3개입),427,54.7,17.52,22.22
도넛_카카오하니딥 도넛,393,47.37,3.51,21.05
도넛_카카오하니딥먼치킨 도넛,369,53.85,4.62,15.38
도넛_커스터드 도넛,325,45.0,5.0,13.33
도넛_허니 올드훼션드 도넛,457,53.97,3.17,25.4
도넛_허니찹쌀스틱,355,61.7,4.26,10.21
또띠아_또띠아 (L),234,21.09,15.64,9.45
또띠아_또띠아 (S),375,35.4,20.5,16.77
또띠아_불고기 베이크,196,28.67,10.33,4.42
또띠아_불닭 베이크,198,32.0,10.75,2.92
또띠아_소고기 브리또,263,35.0,8.13,10.0
또띠아_치킨 치즈 브리또,259,27.59,11.49,11.49
또띠아_핫치킨 브리또,228,28.0,11.0,8.0
또띠아_핫치킨 브리또,244,33.75,11.25,7.5
또띠아_트위스터,202,18.69,9.84,10.77
롤빵_달달연유롤빵,402,45.65,6.52,21.74
롤빵_달달연유롤빵 (3개입),399,45.65,6.52,21.01
롤빵_우유 생크림롤,306,26.25,5.63,20.0
마늘빵_부드러운갈릭브레드,327,44.0,6.0,13.33
마늘빵_프렌치마늘빵,357,52.38,4.76,11.9
마늘빵_프렌치마늘빵 (5개입),352,52.38,6.67,11.43
마카롱_딸기가나슈 마카롱,375,45.83,4.17,20.83
마카롱_바닐라 마카롱,396,45.83,4.17,25.0
마카롱_유자가나슈 마카롱,375,41.67,4.17,20.83
마카롱_초코떡카롱,375,45.83,8.33,20.83
마카롱_초코 마카롱,375,41.67,8.33,25.0
마카롱_프렌치 블루베리 마카롱,375,50.0,4.17,20.83
머핀_블루베리 머핀,394,45.45,5.45,20.91
머핀_아이스콘 요구르트,506,8.43,11.24,3.37
머핀_초코 마들렌,418,42.0,6.5,24.9
머핀_초코칩 머핀,382,49.09,6.36,18.18
머핀_크림치즈 머핀,393,45.45,6.36,20.91
머핀_게랑트쇼콜라 (L),536,62.0,4.7,29.9
머핀_레몬 마들렌,397,42.3,5.9,22.7
머핀_캐러멜 마들렌,394,45.1,5.6,21.2
머핀_허쉬초코 머핀,440,51.0,7.0,23.0
머핀_휘낭시에 로투스,535,67.44,6.98,25.58
머핀_휘낭시에 소보로,526,65.12,6.98,25.58
머핀_휘낭시에 소시지,667,55.81,11.63,39.53
머핀_휘낭시에 아몬드,556,58.14,9.3,20.93
머핀_휘낭시에 약과,572,72.09,6.98,25.58
머핀_휘낭시에 오레오,563,69.77,6.98,27.91
머핀_휘낭시에 크림치즈,509,55.81,6.98,27.91
머핀_휘낭시에 플레인,447,53.49,4.65,20.93
모닝빵_스위트밀크롤 (1개입),386,50.0,9.09,17.27
모닝빵_스위트밀크롤 (2개입),386,50.0,9.09,18.18
모닝빵_스위트밀크롤 (3개입),386,50.0,9.09,16.67
모닝빵_스위트밀크롤 (4개입),381,48.86,9.09,17.05
모닝빵_스위트밀크롤 (5개입),382,49.09,9.09,17.27
모닝빵_스위트밀크롤 (6개입),383,49.24,8.33,17.42
모닝빵_우유듬뿍연유브레드,396,57.75,6.95,14.44
모닝빵_우유듬뿍연유브레드 (대),396,57.5,6.79,14.64
모닝빵_초코아몬드브레드,372,48.84,8.53,14.73
바게트_마늘모닝바게뜨,324,51.9,8.57,8.57
바게트_무화과크림 바게트,405,44.9,5.8,22.5
바게트_크림치즈모닝바게뜨 (H),292,46.21,9.85,6.82
